Date,Hour,apparentTemperature,cloudCover,humidity,temperature,visibility,windSpeed
2017-01-01,0,13.05,0.31,0.69,20.52,10.0,5.51
2017-01-01,1,14.71,0.31,0.69,20.42,10.0,3.99
2017-01-01,2,15.64,0.31,0.63,21.0,10.0,3.8
2017-01-01,3,14.38,0.31,0.68,21.86,10.0,5.77
2017-01-01,4,21.45,0.31,0.59,27.26,10.0,5.06
2017-01-01,5,25.53,0.31,0.51,32.07,10.0,7.07
2017-01-01,6,27.31,0.31,0.44,33.8,10.0,7.56
2017-01-01,7,36.02,0.31,0.36,38.12,10.0,3.18
2017-01-01,8,31.77,0.31,0.33,36.91,10.0,6.44
2017-01-01,9,35.18,0.31,0.32,39.44,10.0,5.88
2017-01-01,10,38.1,0.02,0.36,40.04,10.0,3.28
2017-01-01,11,34.58,0.02,0.42,37.25,10.0,3.57
2017-01-01,12,34.11,0.04,0.47,34.11,10.0,0.95
2017-01-01,13,28.65,0.0,0.52,32.5,10.0,4.0
2017-01-01,14,31.62,0.03,0.53,31.62,10.0,2.67
2017-01-01,15,30.99,0.05,0.55,30.99,10.0,2.1
2017-01-01,16,28.96,0.04,0.6,28.96,10.0,1.17
2017-01-01,17,28.37,0.0,0.61,28.37,10.0,2.53
2017-01-01,18,28.6,0.05,0.61,28.6,10.0,1.35
2017-01-01,19,26.91,0.01,0.68,26.91,10.0,0.73
2017-01-01,20,21.58,0.03,0.75,25.21,10.0,3.03
2017-01-01,21,19.02,0.02,0.78,24.65,9.68,4.47
2017-01-01,22,23.65,0.02,0.81,23.65,9.51,2.71
2017-01-01,23,18.27,0.02,0.81,23.44,9.33,3.94
2017-01-02,0,26.91,0.01,0.68,26.91,10.0,0.73
2017-01-02,1,21.58,0.03,0.75,25.21,10.0,3.03
2017-01-02,2,19.02,0.02,0.78,24.65,9.68,4.47
2017-01-02,3,23.65,0.02,0.81,23.65,9.51,2.71
2017-01-02,4,18.27,0.02,0.81,23.44,9.33,3.94
2017-01-02,5,19.06,0.03,0.8,23.16,9.35,3.16
2017-01-02,6,22.72,0.07,0.8,22.72,9.45,2.92
2017-01-02,7,22.54,0.07,0.78,22.54,9.38,2.13
2017-01-02,8,16.89,0.25,0.74,24.51,9.13,6.48
2017-01-02,9,32.25,0.25,0.65,32.25,9.81,2.08
2017-01-02,10,37.47,0.25,0.44,37.47,9.78,2.19
2017-01-02,11,42.83,0.11,0.33,42.83,9.7,2.8
2017-01-02,12,38.74,0.21,0.35,42.05,9.65,5.19
2017-01-02,13,35.55,0.27,0.53,35.55,9.6,2.85
2017-01-02,14,30.8,0.04,0.52,35.31,9.83,5.19
2017-01-02,15,29.16,0.01,0.54,33.78,10.0,5.01
2017-01-02,16,23.12,0.08,0.63,30.5,9.94,7.86
2017-01-02,17,23.59,0.28,0.68,27.71,10.0,3.63
2017-01-02,18,20.03,0.24,0.74,25.79,10.0,4.76
2017-01-02,19,16.89,0.1,0.75,24.5,10.0,6.46
2017-01-02,20,16.18,0.09,0.77,23.25,10.0,5.61
2017-01-02,21,12.82,0.1,0.83,20.37,10.0,5.56
2017-01-02,22,12.23,0.0,0.79,18.9,9.8,4.54
2017-01-02,23,10.83,0.59,0.76,18.19,9.78,5.02
2017-01-03,0,10.66,0.2,0.73,17.53,9.73,4.52
2017-01-03,1,9.9,0.0,0.77,15.94,9.34,3.75
2017-01-03,2,10.72,0.42,0.75,15.72,9.14,3.1
2017-01-03,3,14.73,0.0,0.78,14.73,5.06,1.1
2017-01-03,4,15.34,0.0,0.76,15.34,7.08,2.23
2017-01-03,5,15.22,0.54,0.78,15.22,4.22,2.33
2017-01-03,6,15.46,0.31,0.81,15.46,4.09,1.31
2017-01-03,7,15.83,0.31,0.82,15.83,3.75,2.02
2017-01-03,8,16.38,0.75,0.86,16.38,2.97,2.34
2017-01-03,9,17.52,0.13,0.83,17.52,3.24,1.44
2017-01-03,10,15.26,0.23,0.82,19.73,5.79,3.1
2017-01-03,11,22.04,0.23,0.74,22.04,7.78,2.24
2017-01-03,12,23.29,0.29,0.72,23.29,9.14,2.71
2017-01-03,13,19.84,0.0,0.67,25.81,9.01,4.97
2017-01-03,14,26.15,0.37,0.64,26.15,9.23,1.95
2017-01-03,15,25.86,0.1,0.63,25.86,9.3,0.94
2017-01-03,16,21.73,0.25,0.8,21.73,9.43,2.66
2017-01-03,17,18.75,0.33,0.86,18.75,9.55,2.66
2017-01-03,18,11.21,0.31,0.89,17.16,9.51,3.81
2017-01-03,19,8.82,0.24,0.84,16.55,9.49,5.09
2017-01-03,20,15.19,0.25,0.87,15.19,8.95,1.25
2017-01-03,21,8.06,0.22,0.87,14.74,8.97,4.05
2017-01-03,22,4.79,0.15,0.92,13.58,8.64,5.55
2017-01-03,23,5.18,0.65,0.88,13.62,6.75,5.25
2017-01-04,0,13.87,0.0,0.87,13.87,6.29,2.54
2017-01-04,1,14.04,0.0,0.86,14.04,5.3,2.98
2017-01-04,2,13.62,0.65,0.87,13.62,4.3,2.26
2017-01-04,3,13.57,0.0,0.86,13.57,4.32,1.19
2017-01-04,4,12.56,0.0,0.87,12.56,4.91,2.9
2017-01-04,5,12.65,0.0,0.89,12.65,5.55,2.95
2017-01-04,6,12.44,0.0,0.89,12.44,3.78,2.66
2017-01-04,7,6.76,0.0,0.88,12.32,4.04,3.16
2017-01-04,8,12.28,0.65,0.88,12.28,2.5,2.51
2017-01-04,9,13.1,0.0,0.87,13.1,2.22,1.62
2017-01-04,10,8.33,0.21,0.81,14.53,2.6,3.71
2017-01-04,11,6.08,0.51,0.81,14.59,2.08,5.47
2017-01-04,12,5.79,0.21,0.82,14.47,2.38,5.61
2017-01-04,13,5.01,0.0,0.83,13.5,2.32,5.27
2017-01-04,14,2.12,0.65,0.84,13.15,1.67,7.74
2017-01-04,15,0.53,0.0,0.87,11.97,1.34,7.91
2017-01-04,16,-2.15,0.0,0.81,10.06,0.9,8.32
2017-01-04,17,-3.25,1.0,0.82,8.42,1.34,7.34
2017-01-04,18,-1.65,1.0,0.82,7.68,1.8,5.12
2017-01-04,19,-1.26,0.0,0.81,7.47,2.54,4.66
2017-01-04,20,-2.21,0.31,0.81,7.31,2.08,5.21
2017-01-04,21,-1.94,0.31,0.78,6.89,2.65,4.66
2017-01-04,22,-2.14,0.31,0.85,5.21,1.94,3.58
2017-01-04,23,5.18,1.0,0.85,5.18,2.68,2.91
2017-01-05,0,-2.9,1.0,0.86,5.04,1.23,3.9
2017-01-05,1,-7.64,1.0,0.86,4.59,1.17,7.09
2017-01-05,2,4.68,1.0,0.82,4.68,1.35,2.93
2017-01-05,3,-2.74,1.0,0.82,4.25,1.24,3.32
2017-01-05,4,-6.38,1.0,0.83,3.83,1.23,5.27
2017-01-05,5,3.59,1.0,0.83,3.59,1.39,2.64
2017-01-05,6,-7.25,1.0,0.83,3.18,1.26,5.34
2017-01-05,7,3.23,0.0,0.82,3.23,2.16,2.96
2017-01-05,8,-9.24,1.0,0.8,-0.28,3.23,4.02
2017-01-05,9,3.49,0.0,0.8,3.49,1.35,1.96
2017-01-05,10,4.64,0.0,0.74,4.64,2.06,1.9
2017-01-05,11,-0.79,0.35,0.69,5.76,4.18,3.21
2017-01-05,12,5.95,0.0,0.68,5.95,5.63,1.73
2017-01-05,13,-2.77,0.0,0.7,6.11,3.17,4.61
2017-01-05,14,-1.22,0.17,0.73,5.68,4.83,3.38
2017-01-05,15,5.03,0.0,0.72,5.03,7.58,0.87
2017-01-05,16,4.6,0.12,0.73,4.6,9.36,1.32
2017-01-05,17,3.98,0.29,0.74,3.98,9.46,1.39
2017-01-05,18,-4.9,0.19,0.75,1.99,9.6,3.12
2017-01-05,19,2.74,0.0,0.79,2.74,9.64,2.54
2017-01-05,20,1.85,0.26,0.75,1.85,9.88,2.0
2017-01-05,21,0.45,0.18,0.79,0.45,9.86,1.93
2017-01-05,22,0.47,0.0,0.78,0.47,9.86,0.24
2017-01-05,23,-10.25,0.08,0.78,-1.19,10.0,3.99
2017-01-06,0,-3.65,0.04,0.78,-3.65,8.79,0.3
2017-01-06,1,-3.31,0.0,0.8,-3.31,9.7,2.61
2017-01-06,2,-4.98,0.03,0.71,-4.98,9.3,2.92
2017-01-06,3,-7.35,0.01,0.81,-7.35,9.16,1.99
2017-01-06,4,-14.67,0.02,0.75,-6.3,9.78,3.28
2017-01-06,5,-9.1,0.04,0.78,-9.1,7.89,2.81
2017-01-06,6,-17.0,0.07,0.76,-8.3,9.44,3.31
2017-01-06,7,-17.57,0.07,0.7,-7.64,8.94,3.93
2017-01-06,8,-6.25,0.08,0.74,-6.25,6.34,1.2
2017-01-06,9,-0.25,0.08,0.8,-0.25,10.0,2.82
2017-01-06,10,5.55,0.02,0.73,5.55,9.85,2.42
2017-01-06,11,0.93,0.02,0.6,9.64,10.0,4.91
2017-01-06,12,13.98,0.06,0.63,13.98,9.7,1.98
2017-01-06,13,12.34,0.07,0.48,17.13,9.67,3.09
2017-01-06,14,15.46,0.06,0.39,20.38,9.76,3.45
2017-01-06,15,17.99,0.08,0.47,17.99,9.76,2.17
2017-01-06,16,13.18,0.04,0.55,13.18,9.76,1.86
2017-01-06,17,8.22,0.02,0.62,8.22,10.0,2.05
2017-01-06,18,5.9,0.02,0.68,5.9,9.17,2.18
2017-01-06,19,-2.83,0.01,0.73,4.97,9.69,3.82
2017-01-06,20,-3.29,0.0,0.73,3.34,9.75,3.09
2017-01-06,21,2.25,0.01,0.76,2.25,9.05,2.76
2017-01-06,22,-5.64,0.0,0.74,2.92,9.76,4.07
2017-01-06,23,-3.88,0.0,0.69,4.14,9.72,3.87
2017-01-07,0,3.32,0.0,0.65,3.32,9.88,2.23
2017-01-07,1,2.52,0.02,0.72,2.52,9.88,1.7
2017-01-07,2,3.04,0.03,0.74,3.04,9.88,2.33
2017-01-07,3,4.19,0.03,0.69,4.19,9.88,2.78
2017-01-07,4,-3.7,0.04,0.7,4.44,10.0,3.97
2017-01-07,5,4.28,0.02,0.72,4.28,10.0,1.67
2017-01-07,6,-5.52,0.07,0.73,3.73,9.89,4.58
2017-01-07,7,-2.28,0.07,0.72,5.04,9.94,3.55
2017-01-07,8,0.86,0.06,0.67,7.85,9.9,3.59
2017-01-07,9,6.07,0.05,0.65,12.13,9.87,3.42
2017-01-07,10,18.12,0.05,0.54,18.12,9.94,1.11
2017-01-07,11,19.72,0.05,0.53,19.72,10.0,2.08
2017-01-07,12,20.22,0.04,0.5,20.22,10.0,1.4
2017-01-07,13,22.9,0.07,0.48,22.9,10.0,2.1
2017-01-07,14,19.0,0.09,0.47,23.87,10.0,3.76
2017-01-07,15,22.04,0.05,0.5,22.04,10.0,0.95
2017-01-07,16,20.33,0.07,0.54,20.33,10.0,2.08
2017-01-07,17,16.1,0.09,0.64,16.1,10.0,2.6
2017-01-07,18,12.47,0.09,0.71,12.47,10.0,2.8
2017-01-07,19,4.97,0.06,0.72,12.66,9.74,4.53
2017-01-07,20,12.24,0.06,0.73,12.24,9.65,2.97
2017-01-07,21,10.94,0.06,0.75,10.94,9.45,2.07
2017-01-07,22,5.06,0.11,0.78,12.9,9.56,4.67
