,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,4/1/2017,0.44,40.54,22.91,40.63,28.99,1.44,0.87,8.23,1491026400
Row,4/10/2017,0.0,55.45,26.7,55.45,30.39,3.53,0.28,9.71,1491804000
Row,4/11/2017,0.02,65.27,26.8,65.27,30.78,1.96,0.32,9.87,1491890400
Row,4/12/2017,0.06,70.91,37.91,70.91,38.37,2.0,0.3,9.98,1491976800
Row,4/13/2017,0.05,73.9,37.04,73.9,40.0,3.45,0.39,9.97,1492063200
Row,4/14/2017,0.05,74.51,41.36,74.51,43.12,1.24,0.44,9.89,1492149600
Row,4/15/2017,0.09,65.89,39.94,65.89,41.04,3.65,0.36,10.0,1492236000
Row,4/16/2017,0.09,68.04,36.09,68.04,38.06,0.98,0.34,9.99,1492322400
Row,4/17/2017,0.05,71.98,38.03,71.98,40.64,2.38,0.34,9.98,1492408800
Row,4/18/2017,0.03,71.72,43.15,71.72,44.42,1.71,0.37,10.0,1492495200
Row,4/19/2017,0.08,65.79,43.8,65.79,46.14,6.54,0.47,9.85,1492581600
Row,4/2/2017,0.14,59.45,26.72,59.45,31.02,0.32,0.63,9.23,1491112800
Row,4/20/2017,0.24,57.77,33.36,57.77,37.06,3.32,0.62,9.58,1492668000
Row,4/21/2017,0.23,40.75,34.27,45.0,36.47,5.01,0.85,9.04,1492754400
Row,4/22/2017,0.19,53.0,30.47,53.0,34.99,2.4,0.7,9.13,1492840800
Row,4/23/2017,0.02,71.07,34.03,71.07,36.9,2.4,0.5,9.71,1492927200
Row,4/24/2017,0.18,62.4,42.41,62.4,44.33,1.53,0.48,9.85,1493013600
Row,4/25/2017,0.17,52.45,26.43,52.45,32.78,3.85,0.68,9.52,1493100000
Row,4/26/2017,0.19,55.41,27.36,55.41,29.48,1.66,0.58,9.45,1493186400
Row,4/27/2017,0.18,50.83,34.42,50.83,36.85,4.55,0.67,9.39,1493272800
Row,4/28/2017,0.18,44.67,19.03,47.93,29.37,5.49,0.65,7.93,1493359200
Row,4/29/2017,0.37,25.77,19.46,32.03,28.02,8.63,0.88,4.75,1493445600
Row,4/3/2017,0.15,54.65,30.48,54.65,35.04,4.05,0.53,9.55,1491199200
Row,4/30/2017,0.07,57.35,19.56,57.35,26.84,6.3,0.49,9.77,1493532000
Row,4/4/2017,0.34,33.95,23.65,37.39,30.29,5.62,0.9,5.12,1491285600
Row,4/5/2017,0.09,51.74,20.9,51.74,25.13,1.86,0.57,9.72,1491372000
Row,4/6/2017,0.08,62.54,30.99,62.54,34.39,3.34,0.46,9.75,1491458400
Row,4/7/2017,0.04,71.79,38.94,71.79,41.13,5.5,0.37,9.96,1491544800
Row,4/8/2017,0.08,71.99,51.19,71.99,51.19,7.56,0.25,9.95,1491631200
Row,4/9/2017,0.08,51.88,31.33,51.88,38.47,13.22,0.36,9.87,1491717600
