,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,4/1/2017,0,29.02,0.65,0.98,32.43,1491026400,4.72,3.61
Row,4/1/2017,1,23.83,0.31,0.94,28.99,1491030000,6.62,4.7
Row,4/1/2017,2,22.91,0.31,0.96,29.1,1491033600,6.21,5.84
Row,4/1/2017,3,28.84,1.0,0.98,32.51,1491037200,7.22,3.84
Row,4/1/2017,4,28.63,0.31,0.98,32.41,1491040800,8.14,3.93
Row,4/1/2017,5,29.62,0.31,0.98,32.46,1491044400,6.87,3.17
Row,4/1/2017,6,32.27,0.63,0.98,32.27,1491048000,6.81,2.36
Row,4/1/2017,7,32.52,0.2,0.98,32.52,1491051600,4.9,2.66
Row,4/1/2017,8,32.89,0.31,0.98,32.89,1491055200,5.5,2.6
Row,4/1/2017,9,30.93,0.57,0.93,34.2,1491058800,6.96,3.72
Row,4/1/2017,10,32.78,0.31,0.91,35.24,1491062400,8.3,3.16
Row,4/1/2017,11,36.42,0.31,0.87,36.42,1491066000,9.11,1.68
Row,4/1/2017,12,37.83,0.57,0.78,37.83,1491069600,9.54,1.76
Row,4/1/2017,13,38.41,0.57,0.76,38.41,1491073200,9.66,2.35
Row,4/1/2017,14,40.23,0.57,0.74,40.23,1491076800,9.68,0.85
Row,4/1/2017,15,38.26,0.7,0.73,40.63,1491080400,9.5,3.78
Row,4/1/2017,16,40.54,0.7,0.71,40.54,1491084000,9.62,1.61
Row,4/1/2017,17,40.13,0.7,0.75,40.13,1491087600,9.67,1.95
Row,4/1/2017,18,40.12,1.0,0.75,40.12,1491091200,9.72,2.45
Row,4/1/2017,19,36.88,0.18,0.77,39.72,1491094800,9.9,4.12
Row,4/1/2017,20,36.52,0.0,0.83,38.93,1491098400,9.73,3.56
Row,4/1/2017,21,38.34,0.65,0.83,38.34,1491102000,9.82,1.77
Row,4/1/2017,22,34.77,0.31,0.87,37.17,1491105600,9.69,3.33
Row,4/1/2017,23,33.02,0.17,0.88,36.57,1491109200,9.63,4.34
Row,4/10/2017,0,35.83,0.0,0.27,38.08,1491804000,10.0,3.3
Row,4/10/2017,1,37.59,0.0,0.27,37.59,1491807600,10.0,1.27
Row,4/10/2017,2,37.38,0.0,0.28,37.38,1491811200,10.0,1.16
Row,4/10/2017,3,32.81,0.01,0.31,35.22,1491814800,10.0,3.11
Row,4/10/2017,4,30.51,0.0,0.33,34.37,1491818400,10.0,4.3
Row,4/10/2017,5,29.45,0.0,0.35,33.26,1491822000,10.0,4.07
Row,4/10/2017,6,30.39,0.01,0.44,30.39,1491825600,9.68,2.17
Row,4/10/2017,7,26.7,0.0,0.43,31.38,1491829200,9.47,4.63
Row,4/10/2017,8,31.1,0.0,0.37,35.38,1491832800,9.47,4.93
Row,4/10/2017,9,34.66,0.01,0.32,39.83,1491836400,9.47,7.48
Row,4/10/2017,10,37.34,0.0,0.29,42.71,1491840000,9.68,9.19
Row,4/10/2017,11,41.47,0.0,0.26,45.47,1491843600,9.47,7.51
Row,4/10/2017,12,45.21,0.0,0.22,48.54,1491847200,9.68,7.49
Row,4/10/2017,13,51.95,0.0,0.18,51.95,1491850800,9.64,7.87
Row,4/10/2017,14,54.08,0.0,0.17,54.08,1491854400,9.67,7.25
Row,4/10/2017,15,55.45,0.01,0.16,55.45,1491858000,9.68,7.26
Row,4/10/2017,16,55.24,0.0,0.16,55.24,1491861600,9.68,5.93
Row,4/10/2017,17,55.34,0.0,0.17,55.34,1491865200,9.67,7.14
Row,4/10/2017,18,55.28,0.01,0.17,55.28,1491868800,9.68,7.64
Row,4/10/2017,19,51.27,0.0,0.21,51.27,1491872400,9.47,7.04
Row,4/10/2017,20,44.95,0.0,0.26,47.56,1491876000,9.68,5.65
Row,4/10/2017,21,42.57,0.04,0.34,42.57,1491879600,9.61,1.88
Row,4/10/2017,22,41.36,0.0,0.36,41.36,1491883200,9.67,1.52
Row,4/10/2017,23,40.02,0.0,0.39,40.02,1491886800,9.68,0.39
Row,4/11/2017,0,35.29,0.01,0.41,38.85,1491890400,9.47,4.8
Row,4/11/2017,1,33.73,0.0,0.45,37.28,1491894000,9.47,4.47
Row,4/11/2017,2,35.22,0.0,0.52,35.22,1491897600,9.62,1.4
Row,4/11/2017,3,31.09,0.03,0.55,33.89,1491901200,9.68,3.28
Row,4/11/2017,4,32.84,0.0,0.56,32.84,1491904800,9.68,1.77
Row,4/11/2017,5,32.13,0.0,0.62,32.13,1491908400,9.47,0.79
Row,4/11/2017,6,26.8,0.01,0.63,30.78,1491912000,9.94,3.89
Row,4/11/2017,7,32.62,0.0,0.58,32.62,1491915600,10.0,1.81
Row,4/11/2017,8,36.98,0.0,0.47,39.14,1491919200,10.0,3.36
Row,4/11/2017,9,43.12,0.01,0.33,44.89,1491922800,10.0,3.82
Row,4/11/2017,10,51.79,0.0,0.26,51.79,1491926400,10.0,5.47
Row,4/11/2017,11,56.6,0.0,0.19,56.6,1491930000,10.0,7.55
Row,4/11/2017,12,60.4,0.01,0.14,60.4,1491933600,9.68,8.38
Row,4/11/2017,13,62.11,0.0,0.12,62.11,1491937200,10.0,6.84
Row,4/11/2017,14,63.23,0.0,0.12,63.23,1491940800,10.0,6.99
Row,4/11/2017,15,65.13,0.04,0.11,65.13,1491944400,10.0,8.16
Row,4/11/2017,16,65.27,0.0,0.11,65.27,1491948000,10.0,6.29
Row,4/11/2017,17,62.99,0.0,0.12,62.99,1491951600,10.0,6.45
Row,4/11/2017,18,61.17,0.22,0.15,61.17,1491955200,10.0,4.56
Row,4/11/2017,19,58.7,0.01,0.17,58.7,1491958800,10.0,4.5
Row,4/11/2017,20,55.18,0.0,0.19,55.18,1491962400,10.0,4.55
Row,4/11/2017,21,52.35,0.04,0.23,52.35,1491966000,10.0,4.89
Row,4/11/2017,22,48.66,0.0,0.27,49.62,1491969600,10.0,3.69
