,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,12/1/2017,0,32.31,0.08,0.52,35.08,1512111600,10,3.39
Row,12/1/2017,1,31.22,0.07,0.48,37.64,1512115200,10,8.95
Row,12/1/2017,2,31.77,0.14,0.47,38.42,1512118800,10,9.8
Row,12/1/2017,3,33.08,0.07,0.47,38.64,1512122400,10,7.72
Row,12/1/2017,4,33.15,0.08,0.48,38.49,1512126000,10,7.27
Row,12/1/2017,5,37.01,0.07,0.51,37.01,1512129600,10,2.37
Row,12/1/2017,6,30.36,0.15,0.54,35.88,1512133200,10,6.71
Row,12/1/2017,7,30.04,0.14,0.53,36.56,1512136800,10,8.66
Row,12/1/2017,8,37.09,0.18,0.49,40.52,1512140400,10,4.99
Row,12/1/2017,9,45.65,0.11,0.4,47.81,1512144000,9.72,5.0
Row,12/1/2017,10,51.43,0.15,0.33,51.43,1512147600,9.87,5.92
Row,12/1/2017,11,56.6,0.26,0.28,56.6,1512151200,9.61,8.43
Row,12/1/2017,12,55.99,0.28,0.29,55.99,1512154800,10,8.04
Row,12/1/2017,13,56.23,0.31,0.28,56.23,1512158400,10,6.89
Row,12/1/2017,14,54.85,0.31,0.28,54.85,1512162000,9.73,5.2
Row,12/1/2017,15,52.99,0.31,0.29,52.99,1512165600,10,7.02
Row,12/1/2017,16,51.2,0.23,0.32,51.2,1512169200,9.95,5.18
Row,12/1/2017,17,45.45,0.3,0.35,47.26,1512172800,10,4.33
Row,12/1/2017,18,43.84,0.11,0.41,43.84,1512176400,9.32,2.82
Row,12/1/2017,19,38.13,0.22,0.46,41.22,1512180000,10,4.7
Row,12/1/2017,20,36.96,0.18,0.46,41.04,1512183600,10,6.06
Row,12/1/2017,21,34.65,0.12,0.52,38.95,1512187200,10,5.79
Row,12/1/2017,22,36.86,0.18,0.56,36.86,1512190800,10,2.68
Row,12/1/2017,23,33.63,0.12,0.58,36.37,1512194400,10,3.52
Row,12/10/2017,0,23.97,0.0,0.27,30.37,1512889200,9.54,6.41
Row,12/10/2017,1,25.44,0.0,0.27,30.15,1512892800,9.86,4.46
Row,12/10/2017,2,23.47,0.0,0.31,29.02,1512896400,9.53,5.11
Row,12/10/2017,3,25.55,0.0,0.27,30.19,1512900000,9.31,4.4
Row,12/10/2017,4,29.14,0.0,0.32,29.14,1512903600,9.54,2.44
Row,12/10/2017,5,23.58,0.0,0.35,28.65,1512907200,9.43,4.57
Row,12/10/2017,6,21.02,0.11,0.37,27.16,1512910800,9.54,5.38
Row,12/10/2017,7,21.06,0.14,0.35,27.08,1512914400,9.49,5.24
Row,12/10/2017,8,23.99,0.05,0.41,28.14,1512918000,9.53,3.7
Row,12/10/2017,9,34.8,0.05,0.3,37.61,1512921600,9.54,3.76
Row,12/10/2017,10,44.87,0.03,0.2,44.87,1512925200,9.61,2.68
Row,12/10/2017,11,46.82,0.03,0.18,49.5,1512928800,9.59,6.48
Row,12/10/2017,12,53.02,0.05,0.16,53.02,1512932400,10,5.04
Row,12/10/2017,13,55.17,0.13,0.12,55.17,1512936000,10,3.25
Row,12/10/2017,14,56.74,0.13,0.11,56.74,1512939600,10,2.5
Row,12/10/2017,15,56.73,0.13,0.11,56.73,1512943200,10,2.95
Row,12/10/2017,16,53.93,0.16,0.12,53.93,1512946800,10,3.15
Row,12/10/2017,17,45.84,0.08,0.17,45.84,1512950400,10,2.34
Row,12/10/2017,18,36.74,0.03,0.22,39.65,1512954000,10,4.19
Row,12/10/2017,19,31.9,0.03,0.28,36.36,1512957600,9.8,5.38
Row,12/10/2017,20,29.2,0.03,0.28,34.81,1512961200,10,6.53
Row,12/10/2017,21,30.74,0.03,0.25,35.42,1512964800,10,5.42
Row,12/10/2017,22,28.97,0.03,0.27,33.9,1512968400,10,5.4
Row,12/10/2017,23,29.38,0.0,0.32,32.89,1512972000,9.86,3.76
Row,12/11/2017,0,29.89,0.0,0.28,35.27,1512975600,10,6.33
Row,12/11/2017,1,28.08,0.0,0.34,33.11,1512979200,9.61,5.34
Row,12/11/2017,2,27.43,0.0,0.38,31.05,1512982800,9.76,3.61
Row,12/11/2017,3,29.54,0.0,0.39,29.54,1512986400,9.58,2.73
Row,12/11/2017,4,25.37,0.0,0.28,30.87,1512990000,10,5.42
Row,12/11/2017,5,25.1,0.0,0.36,29.18,1512993600,9.45,3.76
Row,12/11/2017,6,23.95,0.0,0.39,29.42,1512997200,9.56,5.1
Row,12/11/2017,7,26.27,0.0,0.34,30.75,1513000800,9.53,4.33
Row,12/11/2017,8,32.9,0.03,0.31,32.9,1513004400,9.56,1.56
Row,12/11/2017,9,39.14,0.0,0.26,40.71,1513008000,9.67,3.03
Row,12/11/2017,10,44.37,0.0,0.14,47.93,1513011600,10,7.72
Row,12/11/2017,11,51.99,0.0,0.16,51.99,1513015200,10,2.61
Row,12/11/2017,12,53.17,0.0,0.15,53.17,1513018800,10,3.09
Row,12/11/2017,13,54.76,0.0,0.15,54.76,1513022400,10,7.53
Row,12/11/2017,14,53.77,0.15,0.15,53.77,1513026000,10,8.17
Row,12/11/2017,15,54.3,0.0,0.15,54.3,1513029600,10,8.96
Row,12/11/2017,16,50.82,0.0,0.18,50.82,1513033200,10,6.3
Row,12/11/2017,17,41.7,0.05,0.25,41.7,1513036800,9.94,1.97
Row,12/11/2017,18,38.08,0.16,0.3,38.08,1513040400,10,1.66
Row,12/11/2017,19,31.38,0.16,0.35,35.06,1513044000,10,4.23
Row,12/11/2017,20,29.96,0.16,0.37,34.23,1513047600,10,4.7
Row,12/11/2017,21,29.28,0.08,0.39,31.99,1513051200,10,3.01
Row,12/11/2017,22,24.39,0.02,0.44,29.34,1513054800,10,4.56
Row,12/11/2017,23,25.2,0.02,0.42,30.64,1513058400,10,5.31
