,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,2/1/2017,0.19,29.67,16.23,33.32,23.26,4.05,0.86,7.65,1485932400
Row,2/10/2017,0.02,72.16,54.22,72.16,54.22,9.32,0.22,9.89,1486710000
Row,2/11/2017,0.15,52.96,26.37,52.96,34.46,1.77,0.47,9.79,1486796400
Row,2/12/2017,0.16,44.91,25.27,44.91,30.26,2.18,0.56,9.8,1486882800
Row,2/13/2017,0.04,43.67,26.61,46.9,28.94,1.85,0.53,9.95,1486969200
Row,2/14/2017,0.0,42.85,20.82,47.05,24.68,1.77,0.42,10.0,1487055600
Row,2/15/2017,0.03,61.62,20.61,61.62,26.0,3.41,0.33,10.0,1487142000
Row,2/16/2017,0.02,68.82,34.15,68.82,37.54,3.14,0.19,9.98,1487228400
Row,2/17/2017,0.05,62.5,34.77,62.5,37.28,2.33,0.25,9.99,1487314800
Row,2/18/2017,0.04,59.85,32.61,59.85,36.03,1.16,0.37,10.0,1487401200
Row,2/19/2017,0.13,56.54,31.16,56.54,34.46,0.63,0.48,9.89,1487487600
Row,2/2/2017,0.34,25.11,14.15,25.11,22.02,2.39,0.91,7.4,1486018800
Row,2/20/2017,0.06,58.44,29.81,58.44,37.33,5.43,0.29,10.0,1487574000
Row,2/21/2017,0.05,66.54,38.9,66.54,40.48,15.83,0.23,9.95,1487660400
Row,2/22/2017,0.12,54.39,32.95,54.39,32.95,0.78,0.4,9.9,1487746800
Row,2/23/2017,0.37,28.75,8.16,31.76,17.57,6.23,0.86,5.62,1487833200
Row,2/24/2017,0.2,23.51,9.13,23.51,15.95,1.62,0.79,7.68,1487919600
Row,2/25/2017,0.1,32.31,7.07,32.31,11.56,3.64,0.55,9.92,1488006000
Row,2/26/2017,0.04,38.29,12.65,38.31,15.79,0.94,0.41,9.99,1488092400
Row,2/27/2017,0.12,47.47,11.95,47.47,18.96,2.34,0.48,9.86,1488178800
Row,2/28/2017,0.17,31.02,13.51,35.76,24.5,1.71,0.59,9.34,1488265200
Row,2/3/2017,0.19,27.6,8.65,27.6,16.54,0.42,0.88,6.38,1486105200
Row,2/4/2017,0.05,53.28,22.2,53.28,27.7,11.26,0.43,9.33,1486191600
Row,2/5/2017,0.04,55.81,25.64,55.81,30.5,1.16,0.46,10.0,1486278000
Row,2/6/2017,0.07,55.5,31.88,55.5,34.91,8.47,0.33,9.87,1486364400
Row,2/7/2017,0.09,57.01,37.24,57.01,39.83,8.65,0.41,9.76,1486450800
Row,2/8/2017,0.08,53.08,34.39,53.08,41.05,12.47,0.35,9.83,1486537200
Row,2/9/2017,0.09,65.02,38.62,65.02,40.13,3.58,0.34,9.94,1486623600
