,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,2/1/2017,0,29.67,0.18,0.63,33.32,1485932400,10,3.95
Row,2/1/2017,1,25.6,0.18,0.74,30.54,1485936000,10,4.76
Row,2/1/2017,2,23.12,0.33,0.85,29.18,1485939600,9.94,5.71
Row,2/1/2017,3,29.05,0.11,0.86,29.05,1485943200,9.97,2.42
Row,2/1/2017,4,24.49,0.0,0.85,29.06,1485946800,10,4.17
Row,2/1/2017,5,25.78,0.49,0.85,29.18,1485950400,9.96,3.24
Row,2/1/2017,6,29.02,0.0,0.85,29.02,1485954000,9.93,1.79
Row,2/1/2017,7,24.29,0.25,0.85,28.68,1485957600,9.73,3.96
Row,2/1/2017,8,23.53,0.45,0.88,28.3,1485961200,9.34,4.23
Row,2/1/2017,9,26.1,0.0,0.84,29.52,1485964800,9.46,3.29
Row,2/1/2017,10,26.06,0.0,0.86,29.4,1485968400,9.58,3.22
Row,2/1/2017,11,24.82,0.38,0.85,29.97,1485972000,9.89,4.87
Row,2/1/2017,12,25.73,0.0,0.81,30.95,1485975600,10,5.12
Row,2/1/2017,13,23.2,0.0,0.82,30.5,1485979200,9.82,7.71
Row,2/1/2017,14,22.4,0.49,0.86,29.42,1485982800,9.1,6.99
Row,2/1/2017,15,21.14,0.0,0.9,28.35,1485986400,7.35,6.94
Row,2/1/2017,16,19.96,0.17,0.92,27.13,1485990000,1.97,6.57
Row,2/1/2017,17,21.31,0.0,0.95,26.6,1485993600,2.71,4.46
Row,2/1/2017,18,18.58,0.0,0.94,25.31,1485997200,3.12,5.66
Row,2/1/2017,19,16.51,0.0,0.94,24.06,1486000800,3.67,6.3
Row,2/1/2017,20,16.23,0.56,0.94,23.77,1486004400,3.85,6.22
Row,2/1/2017,21,16.26,0.17,0.93,23.4,1486008000,4.58,5.71
Row,2/1/2017,22,17.44,0.17,0.89,23.35,1486011600,4.97,4.53
Row,2/1/2017,23,16.69,0.56,0.89,23.26,1486015200,4.64,5.11
Row,2/10/2017,0,58.84,0.0,0.28,58.84,1486710000,10,4.62
Row,2/10/2017,1,58.0,0.14,0.28,58.0,1486713600,10,4.2
Row,2/10/2017,2,59.36,0.03,0.25,59.36,1486717200,10,5.86
Row,2/10/2017,3,59.0,0.0,0.25,59.0,1486720800,10,5.24
Row,2/10/2017,4,57.76,0.0,0.26,57.76,1486724400,10,3.48
Row,2/10/2017,5,61.97,0.03,0.21,61.97,1486728000,9.83,18.55
Row,2/10/2017,6,61.29,0.04,0.22,61.29,1486731600,9.5,13.79
Row,2/10/2017,7,61.98,0.0,0.22,61.98,1486735200,9.82,12.47
Row,2/10/2017,8,63.72,0.04,0.19,63.72,1486738800,9.47,8.96
Row,2/10/2017,9,66.02,0.0,0.18,66.02,1486742400,9.54,9.92
Row,2/10/2017,10,68.48,0.01,0.16,68.48,1486746000,9.58,7.83
Row,2/10/2017,11,70.49,0.04,0.15,70.49,1486749600,10,10.77
Row,2/10/2017,12,70.76,0.0,0.15,70.76,1486753200,9.8,22.41
Row,2/10/2017,13,72.16,0.0,0.14,72.16,1486756800,10,19.07
Row,2/10/2017,14,71.66,0.04,0.14,71.66,1486760400,10,17.54
Row,2/10/2017,15,71.01,0.05,0.15,71.01,1486764000,10,16.35
Row,2/10/2017,16,68.81,0.0,0.17,68.81,1486767600,10,15.22
Row,2/10/2017,17,64.18,0.04,0.19,64.18,1486771200,10,12.64
Row,2/10/2017,18,61.02,0.01,0.23,61.02,1486774800,10,8.63
Row,2/10/2017,19,59.58,0.0,0.26,59.58,1486778400,9.94,7.19
Row,2/10/2017,20,57.22,0.04,0.3,57.22,1486782000,10,9.07
Row,2/10/2017,21,56.63,0.0,0.31,56.63,1486785600,9.87,8.54
Row,2/10/2017,22,56.19,0.01,0.32,56.19,1486789200,10,7.26
Row,2/10/2017,23,54.22,0.04,0.35,54.22,1486792800,10,3.63
Row,2/11/2017,0,52.32,0.06,0.38,52.32,1486796400,9.88,6.86
Row,2/11/2017,1,52.47,0.01,0.39,52.47,1486800000,9.94,4.6
Row,2/11/2017,2,51.64,0.05,0.4,51.64,1486803600,9.85,6.69
Row,2/11/2017,3,46.8,0.02,0.43,48.84,1486807200,9.81,5.1
Row,2/11/2017,4,46.95,0.03,0.42,49.09,1486810800,9.85,5.32
Row,2/11/2017,5,44.04,0.04,0.46,46.56,1486814400,9.81,5.21
Row,2/11/2017,6,41.37,0.06,0.52,43.58,1486818000,9.85,4.11
Row,2/11/2017,7,38.08,0.02,0.59,41.66,1486821600,9.81,5.47
Row,2/11/2017,8,39.73,0.04,0.6,41.95,1486825200,9.7,3.82
Row,2/11/2017,9,40.93,0.01,0.58,44.85,1486828800,9.77,7.1
Row,2/11/2017,10,50.04,0.04,0.48,50.04,1486832400,9.79,11.99
Row,2/11/2017,11,52.11,0.1,0.46,52.11,1486836000,9.79,9.42
Row,2/11/2017,12,52.82,0.28,0.43,52.82,1486839600,9.8,8.27
Row,2/11/2017,13,52.96,0.1,0.41,52.96,1486843200,9.8,8.0
Row,2/11/2017,14,51.81,0.31,0.42,51.81,1486846800,9.62,5.7
Row,2/11/2017,15,51.53,0.23,0.4,51.53,1486850400,9.81,4.04
Row,2/11/2017,16,50.85,0.16,0.4,50.85,1486854000,9.8,1.4
Row,2/11/2017,17,47.23,0.5,0.45,48.61,1486857600,9.64,4.04
Row,2/11/2017,18,43.36,0.01,0.52,45.23,1486861200,9.81,4.0
Row,2/11/2017,19,42.34,0.24,0.51,44.32,1486864800,9.83,3.96
Row,2/11/2017,20,43.08,0.35,0.5,43.08,1486868400,9.69,1.76
Row,2/11/2017,21,35.28,0.26,0.5,41.42,1486872000,9.74,10.31
Row,2/11/2017,22,32.91,0.25,0.48,39.17,1486875600,9.83,9.35
Row,2/11/2017,23,26.37,0.37,0.61,34.46,1486879200,9.78,10.86
Row,2/12/2017,0,27.45,0.31,0.68,33.26,1486882800,9.83,6.37
Row,2/12/2017,1,26.32,0.14,0.65,31.98,1486886400,9.84,5.85
Row,2/12/2017,2,25.73,0.56,0.63,31.36,1486890000,9.69,5.68
Row,2/12/2017,3,27.08,0.0,0.62,31.05,1486893600,9.7,3.91
Row,2/12/2017,4,25.27,0.31,0.63,30.26,1486897200,9.62,4.75
Row,2/12/2017,5,26.93,1.0,0.61,30.82,1486900800,9.78,3.81
Row,2/12/2017,6,30.69,0.31,0.6,30.69,1486904400,9.78,2.75
Row,2/12/2017,7,27.06,0.0,0.61,30.54,1486908000,9.59,3.44
Row,2/12/2017,8,26.48,0.34,0.58,31.4,1486911600,9.69,4.88
Row,2/12/2017,9,27.9,0.02,0.55,33.98,1486915200,9.66,6.98
Row,2/12/2017,10,31.48,0.0,0.51,36.49,1486918800,9.67,6.14
Row,2/12/2017,11,35.41,0.05,0.49,39.99,1486922400,9.66,6.53
Row,2/12/2017,12,39.18,0.0,0.47,42.06,1486926000,9.76,4.62
Row,2/12/2017,13,43.83,0.02,0.42,43.83,1486929600,10,2.69
Row,2/12/2017,14,44.5,0.21,0.42,44.5,1486933200,10,1.35
Row,2/12/2017,15,44.91,0.01,0.42,44.91,1486936800,10,1.05
Row,2/12/2017,16,43.38,0.0,0.42,44.86,1486940400,10,3.49
Row,2/12/2017,17,42.26,0.06,0.47,42.26,1486944000,10,2.4
Row,2/12/2017,18,39.2,0.03,0.52,39.2,1486947600,10,0.87
Row,2/12/2017,19,35.31,0.03,0.56,37.39,1486951200,9.79,3.08
Row,2/12/2017,20,32.21,0.08,0.64,35.16,1486954800,9.83,3.55
Row,2/12/2017,21,34.32,0.24,0.65,34.32,1486958400,9.91,1.53
Row,2/12/2017,22,29.92,0.06,0.7,33.02,1486962000,9.64,3.42
Row,2/12/2017,23,28.37,0.02,0.7,32.26,1486965600,9.82,4.01
Row,2/13/2017,0,31.93,0.03,0.72,31.93,1486969200,9.95,1.67
Row,2/13/2017,1,31.22,0.01,0.75,31.22,1486972800,9.8,1.21
Row,2/13/2017,2,31.19,0.03,0.75,31.19,1486976400,10,2.36
Row,2/13/2017,3,29.67,0.0,0.77,29.67,1486980000,10,0.78
Row,2/13/2017,4,29.29,0.01,0.78,29.29,1486983600,10,2.31
Row,2/13/2017,5,28.94,0.05,0.81,28.94,1486987200,9.81,1.95
Row,2/13/2017,6,29.65,0.23,0.79,29.65,1486990800,10,1.98
Row,2/13/2017,7,30.4,0.0,0.79,30.4,1486994400,9.79,0.94
Row,2/13/2017,8,32.21,0.26,0.77,32.21,1486998000,9.8,0.42
Row,2/13/2017,9,35.89,0.18,0.71,35.89,1487001600,9.84,1.32
Row,2/13/2017,10,38.84,0.0,0.56,41.08,1487005200,10,3.71
Row,2/13/2017,11,42.91,0.04,0.48,42.91,1487008800,9.94,2.45
Row,2/13/2017,12,41.9,0.0,0.42,44.64,1487012400,10,5.04
Row,2/13/2017,13,43.67,0.0,0.34,46.2,1487016000,10,5.14
Row,2/13/2017,14,42.74,0.04,0.32,45.88,1487019600,10,6.04
Row,2/13/2017,15,42.7,0.0,0.27,46.9,1487023200,10,8.7
Row,2/13/2017,16,42.1,0.01,0.25,45.58,1487026800,9.97,6.53
Row,2/13/2017,17,40.84,0.04,0.26,43.05,1487030400,9.92,4.0
Row,2/13/2017,18,40.07,0.0,0.27,40.07,1487034000,9.94,2.5
Row,2/13/2017,19,34.19,0.0,0.33,37.11,1487037600,10,3.79
Row,2/13/2017,20,35.01,0.04,0.39,35.01,1487041200,9.97,2.48
Row,2/13/2017,21,29.74,0.0,0.4,32.93,1487044800,10,3.49
Row,2/13/2017,22,27.57,0.0,0.44,30.97,1487048400,10,3.43
Row,2/13/2017,23,26.61,0.03,0.45,30.25,1487052000,10,3.53
Row,2/14/2017,0,29.61,0.0,0.48,29.61,1487055600,10,2.82
Row,2/14/2017,1,25.64,0.0,0.48,29.02,1487059200,10,3.22
Row,2/14/2017,2,26.99,0.01,0.53,26.99,1487062800,10,2.57
Row,2/14/2017,3,25.68,0.0,0.54,25.68,1487066400,10,1.13
Row,2/14/2017,4,20.82,0.0,0.55,25.99,1487070000,9.97,4.26
Row,2/14/2017,5,25.82,0.0,0.53,25.82,1487073600,10,1.08
Row,2/14/2017,6,24.68,0.0,0.57,24.68,1487077200,10,1.95
Row,2/14/2017,7,24.74,0.0,0.57,24.74,1487080800,10,1.82
Row,2/14/2017,8,30.34,0.01,0.51,30.34,1487084400,10,1.35
Row,2/14/2017,9,36.02,0.0,0.36,36.02,1487088000,10,2.84
Row,2/14/2017,10,39.85,0.0,0.31,39.85,1487091600,10,2.27
Row,2/14/2017,11,42.13,0.01,0.28,42.13,1487095200,10,2.8
Row,2/14/2017,12,39.37,0.0,0.26,43.75,1487098800,10,7.55
Row,2/14/2017,13,40.27,0.0,0.25,44.82,1487102400,10,8.4
Row,2/14/2017,14,42.85,0.02,0.24,46.89,1487106000,10,8.28
Row,2/14/2017,15,42.73,0.0,0.24,47.05,1487109600,10,9.06
Row,2/14/2017,16,42.14,0.0,0.25,46.59,1487113200,10,9.13
Row,2/14/2017,17,39.33,0.01,0.28,43.63,1487116800,10,7.35
Row,2/14/2017,18,38.88,0.0,0.34,38.88,1487120400,10,2.19
Row,2/14/2017,19,35.85,0.0,0.41,35.85,1487124000,10,1.39
Row,2/14/2017,20,30.17,0.0,0.45,33.24,1487127600,10,3.42
Row,2/14/2017,21,31.51,0.0,0.5,31.51,1487131200,10,1.55
Row,2/14/2017,22,30.55,0.0,0.51,30.55,1487134800,10,2.94
Row,2/14/2017,23,28.57,0.0,0.57,28.57,1487138400,10,1.3
Row,2/15/2017,0,24.63,0.0,0.59,27.94,1487142000,10,3.07
Row,2/15/2017,1,22.64,0.0,0.59,27.62,1487145600,10,4.33
