,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,1/1/2017,0.14,38.1,13.05,40.04,20.42,1.66,0.57,9.94,1483254000
Row,1/10/2017,0.02,39.39,25.08,46.37,32.52,11.83,0.38,9.84,1484031600
Row,1/11/2017,0.09,43.18,15.98,47.36,24.41,8.24,0.58,9.66,1484118000
Row,1/12/2017,0.17,34.86,16.36,34.93,22.39,1.2,0.69,9.11,1484204400
Row,1/13/2017,0.17,38.86,13.31,38.91,21.23,0.51,0.8,7.84,1484290800
Row,1/14/2017,0.13,40.3,16.92,40.3,23.67,0.95,0.79,8.4,1484377200
Row,1/15/2017,0.27,34.74,20.58,35.08,24.77,1.29,0.85,7.01,1484463600
Row,1/16/2017,0.33,35.17,21.15,35.17,28.52,2.58,0.87,6.21,1484550000
Row,1/17/2017,0.01,42.43,13.88,42.43,19.17,2.55,0.78,9.6,1484636400
Row,1/18/2017,0.04,50.07,17.76,50.07,22.54,2.08,0.51,9.96,1484722800
Row,1/19/2017,0.05,49.53,23.14,49.76,26.58,0.7,0.53,9.87,1484809200
Row,1/2/2017,0.13,42.83,10.83,42.83,18.19,0.85,0.68,9.74,1483340400
Row,1/20/2017,0.16,42.59,25.34,42.88,28.93,1.38,0.68,9.62,1484895600
Row,1/21/2017,0.13,35.34,17.86,38.23,22.42,1.59,0.74,9.81,1484982000
Row,1/22/2017,0.08,40.35,21.5,43.14,27.26,2.04,0.45,9.94,1485068400
Row,1/23/2017,0.26,47.17,22.19,49.16,27.46,1.92,0.56,9.58,1485154800
Row,1/24/2017,0.27,27.91,12.91,30.09,19.6,3.2,0.86,8.69,1485241200
Row,1/25/2017,0.1,26.63,7.27,27.98,14.12,2.07,0.67,9.9,1485327600
Row,1/26/2017,0.11,26.45,0.65,26.45,10.49,1.34,0.56,9.87,1485414000
Row,1/27/2017,0.07,37.92,-2.3,39.18,8.65,1.19,0.41,9.97,1485500400
Row,1/28/2017,0.12,39.7,14.41,44.85,19.43,5.24,0.41,9.99,1485586800
Row,1/29/2017,0.04,56.35,27.36,56.35,32.25,6.92,0.31,10.0,1485673200
Row,1/3/2017,0.26,26.15,4.79,26.15,13.58,0.63,0.79,7.51,1483426800
Row,1/30/2017,0.02,57.24,32.92,57.24,39.38,8.18,0.26,9.99,1485759600
Row,1/31/2017,0.07,58.92,32.89,58.92,36.73,3.91,0.25,9.95,1485846000
Row,1/4/2017,0.26,14.04,-3.25,14.59,5.18,4.03,0.84,2.98,1483513200
Row,1/5/2017,0.2,5.95,-10.25,6.11,-1.19,1.37,0.78,5.03,1483599600
Row,1/6/2017,0.04,17.99,-17.57,20.38,-9.1,1.6,0.69,9.37,1483686000
Row,1/7/2017,0.06,22.9,-5.52,23.87,2.52,1.8,0.65,9.88,1483772400
Row,1/8/2017,0.07,44.55,7.59,46.29,14.66,1.89,0.58,9.51,1483858800
Row,1/9/2017,0.05,54.27,33.2,54.27,33.2,18.31,0.5,9.58,1483945200
