,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,1/1/2017,0,13.05,0.31,0.69,20.52,1483254000,10,5.51
Row,1/1/2017,1,14.71,0.31,0.69,20.42,1483257600,10,3.99
Row,1/1/2017,2,15.64,0.31,0.63,21.0,1483261200,10,3.8
Row,1/1/2017,3,14.38,0.31,0.68,21.86,1483264800,10,5.77
Row,1/1/2017,4,21.45,0.31,0.59,27.26,1483268400,10,5.06
Row,1/1/2017,5,25.53,0.31,0.51,32.07,1483272000,10,7.07
Row,1/1/2017,6,27.31,0.31,0.44,33.8,1483275600,10,7.56
Row,1/1/2017,7,36.02,0.31,0.36,38.12,1483279200,10,3.18
Row,1/1/2017,8,31.77,0.31,0.33,36.91,1483282800,10,6.44
Row,1/1/2017,9,35.18,0.31,0.32,39.44,1483286400,10,5.88
Row,1/1/2017,10,38.1,0.02,0.36,40.04,1483290000,10,3.28
Row,1/1/2017,11,34.58,0.02,0.42,37.25,1483293600,10,3.57
Row,1/1/2017,12,34.11,0.04,0.47,34.11,1483297200,10,0.95
Row,1/1/2017,13,28.65,0.0,0.52,32.5,1483300800,10,4.0
Row,1/1/2017,14,31.62,0.03,0.53,31.62,1483304400,10,2.67
Row,1/1/2017,15,30.99,0.05,0.55,30.99,1483308000,10,2.1
Row,1/1/2017,16,28.96,0.04,0.6,28.96,1483311600,10,1.17
Row,1/1/2017,17,28.37,0.0,0.61,28.37,1483315200,10,2.53
Row,1/1/2017,18,28.6,0.05,0.61,28.6,1483318800,10,1.35
Row,1/1/2017,19,26.91,0.01,0.68,26.91,1483322400,10,0.73
Row,1/1/2017,20,21.58,0.03,0.75,25.21,1483326000,10,3.03
Row,1/1/2017,21,19.02,0.02,0.78,24.65,1483329600,9.68,4.47
Row,1/1/2017,22,23.65,0.02,0.81,23.65,1483333200,9.51,2.71
Row,1/1/2017,23,18.27,0.02,0.81,23.44,1483336800,9.33,3.94
Row,1/10/2017,0,30.29,0.0,0.43,38.03,1484031600,9.51,12.2
Row,1/10/2017,1,27.08,0.0,0.42,37.29,1484035200,10,19.37
Row,1/10/2017,2,25.44,0.03,0.47,35.06,1484038800,10,15.2
Row,1/10/2017,3,25.08,0.0,0.45,33.98,1484042400,10,12.47
Row,1/10/2017,4,26.76,0.0,0.44,34.17,1484046000,10,9.31
Row,1/10/2017,5,27.75,0.01,0.47,33.38,1484049600,10,6.16
Row,1/10/2017,6,26.84,0.0,0.48,32.71,1484053200,10,6.33
Row,1/10/2017,7,32.52,0.0,0.46,32.52,1484056800,10,2.78
Row,1/10/2017,8,29.03,0.04,0.39,36.07,1484060400,10,9.48
Row,1/10/2017,9,35.18,0.0,0.36,38.99,1484064000,9.78,5.14
Row,1/10/2017,10,36.12,0.0,0.36,40.51,1484067600,9.72,6.38
Row,1/10/2017,11,39.39,0.04,0.32,43.15,1484071200,9.71,6.2
Row,1/10/2017,12,39.03,0.0,0.3,45.66,1484074800,9.67,15.19
Row,1/10/2017,13,38.14,0.0,0.28,46.25,1484078400,9.65,22.78
Row,1/10/2017,14,38.3,0.09,0.29,46.37,1484082000,9.79,22.77
Row,1/10/2017,15,37.92,0.0,0.29,46.01,1484085600,9.79,22.22
Row,1/10/2017,16,35.17,0.0,0.31,43.79,1484089200,9.79,21.31
Row,1/10/2017,17,35.05,0.07,0.33,42.71,1484092800,9.82,15.91
Row,1/10/2017,18,35.39,0.04,0.34,41.8,1484096400,9.81,11.22
Row,1/10/2017,19,34.26,0.04,0.37,41.75,1484100000,9.82,14.41
Row,1/10/2017,20,34.38,0.07,0.4,41.42,1484103600,9.8,12.73
Row,1/10/2017,21,34.28,0.04,0.38,41.94,1484107200,9.8,15.14
Row,1/10/2017,22,35.58,0.0,0.39,41.92,1484110800,9.81,11.15
Row,1/10/2017,23,35.12,0.03,0.4,41.39,1484114400,9.8,10.62
Row,1/11/2017,0,34.37,0.0,0.4,42.13,1484118000,9.8,15.66
Row,1/11/2017,1,31.87,0.0,0.43,41.79,1484121600,9.8,24.56
Row,1/11/2017,2,31.21,0.03,0.47,40.64,1484125200,9.68,20.46
