,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,6/1/2017,0.1,73.32,47.47,73.32,47.47,2.85,0.53,9.97,1496296800
Row,6/10/2017,0.09,86.1,62.03,86.1,62.03,3.16,0.29,9.95,1497074400
Row,6/11/2017,0.11,74.84,58.32,74.84,58.32,0.27,0.47,9.96,1497160800
Row,6/12/2017,0.17,82.85,56.32,82.85,56.32,4.37,0.51,9.88,1497247200
Row,6/13/2017,0.07,72.54,44.29,72.54,47.12,2.79,0.31,10.0,1497333600
Row,6/14/2017,0.1,79.29,47.7,79.29,49.85,4.02,0.27,9.95,1497420000
Row,6/15/2017,0.06,82.16,50.19,82.16,50.19,0.78,0.31,9.66,1497506400
Row,6/16/2017,0.05,85.85,54.23,85.85,54.23,5.7,0.3,9.75,1497592800
Row,6/17/2017,0.13,76.3,58.04,76.3,58.04,3.42,0.43,9.56,1497679200
Row,6/18/2017,0.14,79.39,53.6,79.39,53.6,1.19,0.42,9.68,1497765600
Row,6/19/2017,0.05,79.32,52.09,79.32,52.09,1.42,0.41,9.7,1497852000
Row,6/2/2017,0.16,69.22,48.58,69.22,49.71,2.29,0.58,9.72,1496383200
Row,6/20/2017,0.08,90.48,55.5,90.48,55.5,1.52,0.34,9.73,1497938400
Row,6/21/2017,0.06,89.98,61.88,89.98,61.88,3.59,0.28,9.99,1498024800
Row,6/22/2017,0.06,84.52,60.66,84.52,60.66,1.4,0.36,9.92,1498111200
Row,6/23/2017,0.22,60.08,42.9,60.08,47.37,2.07,0.7,9.61,1498197600
Row,6/24/2017,0.23,69.69,46.42,69.69,46.94,2.32,0.59,9.63,1498284000
Row,6/25/2017,0.18,69.03,48.95,69.03,48.95,3.03,0.64,9.97,1498370400
Row,6/26/2017,0.1,82.11,49.74,82.11,49.74,1.56,0.51,9.69,1498456800
Row,6/27/2017,0.06,88.69,55.09,88.69,55.09,3.12,0.37,9.85,1498543200
Row,6/28/2017,0.06,81.83,54.37,81.83,54.37,2.48,0.34,9.91,1498629600
Row,6/29/2017,0.05,77.39,52.94,77.39,52.94,3.21,0.4,9.67,1498716000
Row,6/3/2017,0.14,71.38,46.19,71.38,47.15,2.33,0.53,9.92,1496469600
Row,6/30/2017,0.21,69.39,50.62,69.39,50.62,1.7,0.58,9.42,1498802400
Row,6/4/2017,0.12,75.69,43.21,75.69,46.26,2.66,0.48,9.96,1496556000
Row,6/5/2017,0.12,74.21,51.99,74.21,51.99,3.52,0.49,9.98,1496642400
Row,6/6/2017,0.09,67.88,51.76,67.88,51.76,1.52,0.55,9.95,1496728800
Row,6/7/2017,0.17,76.03,48.9,76.03,49.53,2.21,0.59,10.0,1496815200
Row,6/8/2017,0.14,78.39,50.55,78.39,50.55,2.4,0.58,9.88,1496901600
Row,6/9/2017,0.09,86.38,54.75,86.38,54.75,4.9,0.35,9.78,1496988000
