,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,6/1/2017,0,53.47,0.11,0.68,53.47,1496296800,10,0.96
Row,6/1/2017,1,51.68,0.06,0.69,51.68,1496300400,10,2.06
Row,6/1/2017,2,50.45,0.08,0.74,50.45,1496304000,10,1.97
Row,6/1/2017,3,48.9,0.08,0.74,49.46,1496307600,10,3.19
Row,6/1/2017,4,47.47,0.08,0.74,47.47,1496311200,10,2.41
Row,6/1/2017,5,47.73,0.08,0.76,47.73,1496314800,10,2.69
Row,6/1/2017,6,48.57,0.08,0.76,48.57,1496318400,10,0.98
Row,6/1/2017,7,53.89,0.16,0.72,53.89,1496322000,9.94,1.45
Row,6/1/2017,8,59.08,0.16,0.59,59.08,1496325600,10,2.91
Row,6/1/2017,9,63.19,0.17,0.5,63.19,1496329200,10,0.94
Row,6/1/2017,10,66.56,0.11,0.45,66.56,1496332800,10,0.96
Row,6/1/2017,11,70.03,0.08,0.36,70.03,1496336400,10,4.02
Row,6/1/2017,12,72.05,0.08,0.33,72.05,1496340000,9.29,5.8
Row,6/1/2017,13,73.32,0.0,0.3,73.32,1496343600,10,9.49
Row,6/1/2017,14,72.08,0.13,0.3,72.08,1496347200,9.94,6.6
Row,6/1/2017,15,71.04,0.26,0.32,71.04,1496350800,10,9.9
Row,6/1/2017,16,67.27,0.17,0.4,67.27,1496354400,10,10.04
Row,6/1/2017,17,67.68,0.14,0.4,67.68,1496358000,10,3.4
Row,6/1/2017,18,70.5,0.12,0.32,70.5,1496361600,10,1.99
Row,6/1/2017,19,67.0,0.03,0.38,67.0,1496365200,10,4.13
Row,6/1/2017,20,62.85,0.0,0.43,62.85,1496368800,10,4.18
Row,6/1/2017,21,59.04,0.08,0.54,59.04,1496372400,10,6.36
Row,6/1/2017,22,55.64,0.11,0.61,55.64,1496376000,10,4.98
Row,6/1/2017,23,54.95,0.09,0.61,54.95,1496379600,10,4.55
Row,6/10/2017,0,65.83,0.0,0.31,65.83,1497074400,10,7.64
Row,6/10/2017,1,65.08,0.05,0.31,65.08,1497078000,10,6.16
Row,6/10/2017,2,62.03,0.08,0.37,62.03,1497081600,9.87,5.72
Row,6/10/2017,3,62.85,0.1,0.34,62.85,1497085200,10,7.96
Row,6/10/2017,4,63.33,0.0,0.31,63.33,1497088800,9.87,5.08
Row,6/10/2017,5,63.2,0.0,0.31,63.2,1497092400,9.87,6.26
Row,6/10/2017,6,62.79,0.08,0.32,62.79,1497096000,9.75,4.48
Row,6/10/2017,7,66.6,0.0,0.3,66.6,1497099600,10,7.96
Row,6/10/2017,8,70.92,0.13,0.29,70.92,1497103200,10,5.96
Row,6/10/2017,9,75.15,0.18,0.23,75.15,1497106800,9.81,4.65
Row,6/10/2017,10,78.7,0.14,0.19,78.7,1497110400,9.87,3.74
Row,6/10/2017,11,80.61,0.16,0.21,80.61,1497114000,10,7.01
Row,6/10/2017,12,80.87,0.08,0.21,80.87,1497117600,10,9.72
Row,6/10/2017,13,84.51,0.14,0.19,84.51,1497121200,10,11.42
Row,6/10/2017,14,84.85,0.13,0.17,84.85,1497124800,9.92,7.88
Row,6/10/2017,15,85.57,0.13,0.18,85.57,1497128400,10,9.3
Row,6/10/2017,16,86.1,0.16,0.19,86.1,1497132000,10,9.77
Row,6/10/2017,17,85.01,0.16,0.19,85.01,1497135600,9.92,5.06
Row,6/10/2017,18,80.45,0.05,0.22,80.45,1497139200,10,7.17
Row,6/10/2017,19,78.02,0.0,0.27,78.02,1497142800,10,3.53
Row,6/10/2017,20,74.43,0.08,0.34,74.43,1497146400,10,4.6
Row,6/10/2017,21,70.36,0.16,0.43,70.36,1497150000,10,3.93
Row,6/10/2017,22,64.49,0.1,0.48,64.49,1497153600,10,3.35
Row,6/10/2017,23,65.24,0.08,0.51,65.24,1497157200,10,2.59
Row,6/11/2017,0,63.86,0.08,0.5,63.86,1497160800,10,2.09
Row,6/11/2017,1,62.32,0.08,0.51,62.32,1497164400,10,5.39
Row,6/11/2017,2,59.94,0.08,0.51,59.94,1497168000,10,6.69
Row,6/11/2017,3,59.09,0.08,0.45,59.09,1497171600,10,6.69
