,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,9/1/2017,0.13,83.97,57.1,83.97,57.1,3.12,0.44,9.44,1504245600
Row,9/10/2017,0.1,82.04,55.89,82.04,55.89,1.43,0.41,9.41,1505023200
Row,9/11/2017,0.13,82.5,58.15,82.5,58.15,1.98,0.45,9.56,1505109600
Row,9/12/2017,0.13,84.22,55.52,84.22,55.52,1.51,0.42,9.48,1505196000
Row,9/13/2017,0.15,80.49,59.46,80.49,59.46,3.09,0.35,9.58,1505282400
Row,9/14/2017,0.13,81.15,56.23,81.15,56.23,3.45,0.39,9.49,1505368800
Row,9/15/2017,0.16,76.46,51.33,76.46,51.33,1.43,0.43,9.54,1505455200
Row,9/16/2017,0.2,62.62,44.38,62.62,46.79,3.25,0.71,9.23,1505541600
Row,9/17/2017,0.19,65.32,42.16,65.32,43.62,1.61,0.65,9.09,1505628000
Row,9/18/2017,0.14,76.79,43.72,76.79,45.82,2.9,0.44,9.55,1505714400
Row,9/19/2017,0.06,79.91,46.35,79.91,48.93,2.0,0.32,9.58,1505800800
Row,9/2/2017,0.07,86.25,55.94,86.25,55.94,0.14,0.37,8.43,1504332000
Row,9/20/2017,0.1,72.34,40.23,72.34,43.66,4.9,0.41,9.89,1505887200
Row,9/21/2017,0.04,85.11,45.58,85.11,47.58,3.67,0.32,9.84,1505973600
Row,9/22/2017,0.09,70.38,49.14,70.38,49.14,2.83,0.4,9.7,1506060000
Row,9/23/2017,0.4,50.62,37.73,50.62,42.68,4.83,0.78,8.33,1506146400
Row,9/24/2017,0.36,43.52,38.18,46.61,42.14,3.96,0.91,6.16,1506232800
Row,9/25/2017,0.28,52.91,34.41,52.91,39.51,3.27,0.79,8.47,1506319200
Row,9/26/2017,0.19,55.76,39.37,55.76,40.53,1.13,0.72,8.87,1506405600
Row,9/27/2017,0.47,51.67,46.41,51.67,46.5,1.78,0.79,8.49,1506492000
Row,9/28/2017,0.53,54.81,42.15,54.81,45.74,3.32,0.82,8.13,1506578400
Row,9/29/2017,0.28,57.83,40.99,57.83,42.36,1.25,0.79,8.88,1506664800
Row,9/3/2017,0.09,90.91,54.93,90.91,54.93,1.92,0.29,9.49,1504418400
Row,9/30/2017,0.13,64.76,39.07,64.76,41.73,3.78,0.69,8.09,1506751200
Row,9/4/2017,0.14,84.98,55.15,84.98,55.15,2.88,0.33,6.5,1504504800
Row,9/5/2017,0.19,66.81,50.51,66.81,50.51,2.29,0.5,9.11,1504591200
Row,9/6/2017,0.04,75.43,43.3,75.43,43.97,0.2,0.49,9.39,1504677600
Row,9/7/2017,0.11,79.14,48.84,79.14,49.5,1.88,0.41,9.4,1504764000
Row,9/8/2017,0.07,78.07,50.72,78.07,50.72,1.95,0.44,9.39,1504850400
Row,9/9/2017,0.11,82.02,55.57,82.02,55.57,2.49,0.39,9.48,1504936800
